,mean_reward_100_steps,steps
0,-24.099927527788125,68
1,-91.45211388718604,142
2,-99.58539915643763,199
3,-125.37783781411409,279
4,-172.30798865670255,359
5,-162.136563727803,449
6,-153.9136324875905,541
7,-186.13143221508784,636
8,-203.26021263265798,736
9,-229.44162941413848,859
10,-222.42973281613902,936
11,-230.30562153859657,1010
12,-246.41294035573992,1102
13,-254.29942682332444,1181
14,-275.90777137775575,1319
15,-288.6099502667689,1397
16,-290.8566805893624,1501
17,-295.1845725260858,1577
18,-283.7984317306886,1639
19,-285.8406942370358,1730
20,-296.36040360036554,1850
21,-306.6977914155868,1966
22,-302.12741729840144,2053
23,-309.4470011825759,2146
24,-306.94535275028863,2257
25,-314.9211569285277,2357
26,-319.80692622027215,2475
27,-327.5152095106304,2567
28,-330.99803045278304,2657
29,-336.97802250669696,2749
30,-351.9887447934861,2907
31,-348.7552744981647,2989
32,-351.3192270984951,3072
33,-345.6515303951518,3188
34,-349.57763679943065,3306
35,-350.51154079957587,3414
36,-353.69397396386154,3512
37,-355.9950555639831,3611
38,-349.3825099152593,3698
39,-350.6660815293182,3857
40,-353.0738343126491,3945
41,-357.7882900845864,4040
42,-351.31970594199606,4120
43,-358.1029345222571,4259
44,-365.34409610115534,4428
45,-360.94982077272914,4516
46,-356.0712009344988,4594
47,-358.001417646717,4679
48,-360.68297315531385,4762
49,-367.4934040659143,4916
50,-365.0650437957507,5047
51,-359.70066208928085,5161
52,-355.9726145172422,5278
53,-361.2821271419679,5461
54,-359.7331520367517,5552
55,-354.63824701695074,5695
56,-360.08331141344536,5962
57,-357.91715836265024,6082
58,-354.32353446903215,6198
59,-357.38609983620097,6329
60,-354.05185708361677,6409
61,-356.5664857870576,6521
62,-354.5384160811825,6704
63,-350.5189400664998,6823
64,-347.81531749375426,6912
65,-346.9914954528997,7011
66,-348.3077757485708,7103
67,-350.3703182556763,7215
68,-348.6839659802298,7339
69,-345.89031307604745,7446
70,-344.2044285204779,7542
71,-340.8026192709846,7694
72,-341.4505777725486,7853
73,-341.22663867508726,7947
74,-342.74128874326135,8076
75,-342.3551117181728,8231
76,-339.4930467029294,8312
77,-337.93064276569606,8419
78,-335.7495120744429,8525
79,-372.04244489840494,8992
80,-372.2205747037408,9150
81,-376.4789602441153,9314
82,-378.8252497249007,9475
83,-381.3777543009887,9683
84,-381.46398647387747,9760
85,-378.9437732123477,9860
86,-381.93687457686065,10040
87,-378.1667664125096,10159
88,-379.2569215243361,10371
89,-377.80356597002014,10457
90,-376.6655164557526,10607
91,-374.4873371919297,10746
92,-375.5735983625175,10884
93,-375.96319262308765,11008
94,-377.70398683762977,11192
95,-381.1579837180113,11346
96,-381.9597831266041,11474
97,-382.83369583348804,11627
98,-384.8824483136186,11763
99,-382.80642761685414,11842
100,-390.3358313368835,12059
101,-393.3457937671096,12153
102,-401.9141129187936,12311
103,-401.61805052199134,12506
104,-400.90059685536,12638
