Wall time,Step,Value
1582821332.0466244,48564,-187.5574493408203
1582821332.329803,49035,-190.21543884277344
1582821332.8226292,49733,-193.97169494628906
1582821333.1802332,50224,-195.40045166015625
1582821333.3487492,50422,-197.72756958007812
1582821333.7368302,50823,-200.5740966796875
1582821333.9444013,51058,-202.00685119628906
1582821334.284508,51682,-206.8563995361328
1582821334.6595004,52217,-208.0089111328125
1582821334.6814046,52245,-210.62338256835938
1582821334.781818,52430,-213.6187744140625
1582821334.9718306,52772,-214.95103454589844
1582821335.0096285,52828,-213.0697021484375
1582821335.0367336,52876,-213.3837890625
1582821336.1599517,54688,-218.48309326171875
1582821336.7600586,55625,-212.6666717529297
1582821337.2752442,56649,-209.4261932373047
1582821337.3279219,56749,-208.86976623535156
1582821337.7824337,57504,-202.9075927734375
1582821337.814522,57578,-199.6277313232422
1582821337.9153502,57749,-195.49325561523438
1582821338.2250123,58137,-197.1387481689453
1582821338.498219,58661,-199.6285400390625
1582821339.130199,59867,-203.5820770263672
1582821339.1849346,59987,-203.23883056640625
1582821339.4209461,60300,-202.90574645996094
1582821339.4380975,60330,-201.40875244140625
1582821339.744032,60913,-199.19781494140625
1582821341.4716237,62672,-192.6758575439453
1582821343.1712725,64395,-192.88455200195312
1582821343.232015,64505,-191.56979370117188
1582821343.2498267,64540,-189.48602294921875
1582821343.4596314,64975,-188.2938232421875
1582821343.7176235,65258,-191.03309631347656
1582821343.9488854,65478,-192.2991943359375
1582821344.290653,66099,-188.40869140625
1582821344.3868418,66255,-189.29501342773438
1582821344.4332242,66331,-187.68112182617188
1582821344.8336325,66872,-180.1699676513672
1582821344.9864004,67187,-179.7817840576172
1582821345.2827742,67786,-174.6366729736328
1582821346.055281,69034,-162.52279663085938
1582821346.335509,69541,-158.13929748535156
1582821346.611096,69946,-156.46420288085938
1582821347.0744286,70471,-154.44503784179688
1582821347.3467364,70766,-157.57273864746094
1582821347.9998348,71473,-157.18228149414062
1582821350.653082,74297,-160.97509765625
1582821351.3291984,74981,-161.67068481445312
1582821351.414843,75113,-163.72653198242188
1582821351.624071,75488,-164.80189514160156
1582821351.958368,75904,-162.05718994140625
1582821352.3293521,76459,-162.77052307128906
1582821352.6008596,76801,-162.51226806640625
1582821352.6803045,76918,-163.9859619140625
1582821353.302197,77965,-168.4208984375
1582821353.339228,78043,-168.85745239257812
1582821353.7969835,78951,-157.2644500732422
1582821353.9890633,79317,-155.84619140625
1582821354.0314634,79391,-152.1500701904297
1582821354.0492167,79430,-151.88812255859375
1582821354.14146,79626,-150.70645141601562
1582821354.2926662,79946,-150.04849243164062
1582821354.3417933,80037,-150.10093688964844
1582821354.4604802,80243,-148.86758422851562
1582821354.4791942,80274,-148.6674041748047
1582821354.5279841,80386,-147.66954040527344
1582821354.630833,80617,-147.41836547851562
1582821354.8659873,81035,-147.53469848632812
1582821355.2898054,81668,-148.8441619873047
1582821355.5382764,82012,-150.57196044921875
1582821356.5532227,82914,-151.65695190429688
1582821356.818006,83083,-152.33665466308594
1582821357.4674852,84111,-150.6400909423828
1582821358.143684,84890,-148.76123046875
1582821358.7285717,85598,-148.540283203125
1582821359.7199786,86830,-151.51123046875
1582821359.7943878,86945,-151.78799438476562
1582821360.3359935,87621,-151.36009216308594
1582821360.8099735,88415,-149.2708282470703
