,mean_reward_100_steps,steps
317,-151.1811431646558,31878
318,-154.8387539733482,32010
319,-154.64131905764592,32086
320,-155.81053488508823,32152
321,-156.79057155940424,32257
322,-157.08979047948174,32348
323,-154.79968632054653,32430
324,-154.733161251641,32495
325,-154.83549546612613,32559
326,-154.91752252171426,32636
327,-154.75238729333543,32753
328,-155.6356139801507,32847
329,-156.7407213824459,32922
330,-155.8901856806864,32985
331,-155.1960970740589,33065
332,-154.51280138490364,33128
333,-155.008979312061,33202
334,-154.4125819900996,33306
335,-153.21802833229407,33408
336,-152.75778618961237,33470
337,-155.0753738046918,33570
338,-153.48703362264786,33640
339,-151.99820743626154,33730
340,-153.37314481200096,33830
341,-150.97930591332755,33947
342,-153.0255901014756,34040
343,-152.67336722829342,34127
344,-152.6361963045621,34207
345,-151.7763772380695,34302
346,-153.45079049944627,34404
347,-153.83318211596534,34506
348,-153.18303776466246,34583
349,-154.52548125072633,34675
350,-154.09039184322458,34747
351,-154.1027488586154,34828
352,-152.54264590180313,34924
353,-152.63809871303692,34984
354,-151.8424466062959,35074
355,-152.2601038944925,35157
356,-152.36190163930277,35245
357,-150.61696560080514,35311
358,-150.36399966380807,35388
359,-150.92798115958144,35530
360,-150.24886038876434,35653
361,-149.04701291785935,35788
362,-149.08496861051725,35861
363,-149.16025288751334,35977
364,-149.9560146152092,36118
365,-150.57400861576755,36186
366,-150.68412906261244,36249
367,-150.4522390749411,36338
368,-148.42653749140763,36408
369,-147.6156396163906,36502
370,-149.16371968566045,36582
371,-148.83865641257063,36668
372,-148.74976106203675,36728
373,-150.61850321568392,36807
374,-152.17161911220487,36896
375,-150.49670498516159,36978
376,-150.9409033220103,37105
377,-150.91594426339688,37190
378,-151.03537020080802,37306
379,-153.3367160371801,37387
380,-153.9837586328053,37468
381,-151.80032049465638,37546
382,-150.92702635793822,37675
383,-151.34563672726003,37766
384,-151.69927016998753,37856
385,-149.76838031011104,37930
386,-149.24781638957404,38078
387,-148.69690421538388,38177
388,-147.30039306846254,38260
389,-147.57261831734655,38356
390,-145.4788190391985,38433
391,-144.48374361538816,38502
392,-145.37125829573858,38626
393,-145.3696201605255,38712
394,-146.48056888759345,38784
395,-146.98494305266527,38880
396,-145.40056361007345,38998
397,-147.26634250271113,39105
398,-147.81994994205314,39179
399,-147.94770923581316,39263
400,-149.66568605398933,39361
401,-150.95522018531236,39463
402,-152.25755007380056,39572
403,-154.0226291707436,39676
404,-153.33913160239763,39775
405,-153.15515533441203,39856
406,-153.0492490753437,39957
407,-153.33933783045214,40066
408,-153.71011713610545,40187
409,-151.33450683211498,40280
410,-150.67248173792873,40361
411,-153.0874976068509,40463
412,-152.87246736923223,40570
413,-152.65557879193955,40677
414,-151.65728256320324,40746
415,-150.68110221900847,40837
416,-151.1449668920357,40906
417,-151.5715726997013,40984
418,-147.27319616867,41064
419,-147.49197808642248,41148
420,-146.4514452612788,41221
421,-144.35676042830673,41291
422,-145.57327863825248,41401
423,-145.5680059563162,41512
424,-145.71388247157336,41581
425,-145.14700594757656,41643
426,-146.5252725488864,41769
427,-146.3129891473183,41834
428,-146.03346012765283,41946
429,-144.97327453077511,42061
430,-145.4182810182316,42127
431,-147.02856060453257,42259
432,-148.04404967908337,42337
433,-147.96515069962058,42427
434,-146.46129593681292,42540
435,-146.320101238226,42644
436,-147.7119888919944,42759
437,-146.58817937280747,42863
438,-148.08517685507258,42997
439,-149.57686854548575,43057
440,-150.31157966186842,43154
441,-149.73043599039977,43219
442,-148.28340092854896,43322
443,-146.5686544620448,43390
444,-146.7800414635868,43538
445,-146.99177642389049,43629
446,-146.44893408302994,43711
447,-146.19051689731782,43777
448,-146.95754889469362,43901
449,-144.9014146261106,43980
450,-144.77436551953429,44092
451,-144.3285056828911,44179
452,-144.05961610476325,44277
453,-144.80931360016012,44380
454,-146.015683688617,44481
455,-145.75231415468363,44558
456,-146.75116127964787,44652
457,-147.1185100025357,44730
458,-147.22079853423944,44820
459,-147.43776356216424,44939
460,-149.0579988621668,45082
461,-147.32487193057884,45162
462,-147.40989705733134,45229
463,-148.28140743092814,45364
464,-147.50959684017533,45449
465,-148.33012390359494,45523
466,-149.04485058444533,45618
467,-148.6159723480264,45739
468,-150.54076363460683,45853
469,-150.851816286037,45937
470,-149.436936441601,46050
471,-149.94789396151896,46158
472,-151.22206013024987,46273
473,-150.27940465029363,46380
474,-149.8898405140266,46483
475,-150.99919520036815,46590
476,-151.73344532944628,46702
477,-150.7380007182219,46796
478,-150.54052037378509,46897
479,-149.8835970341753,46978
480,-149.94127553062552,47091
481,-149.59004702832965,47183
482,-150.67139914177983,47268
483,-150.48632055402396,47338
484,-150.4105376483791,47400
485,-150.54436029826942,47502
486,-151.55102155756725,47586
487,-150.51124085823378,47702
488,-150.30094127784753,47763
489,-151.85320694394525,47863
490,-151.38106127566556,47956
491,-151.49695734996044,48031
492,-150.36474646270793,48111
493,-152.20246939449504,48212
494,-150.4084987145156,48276
495,-150.83809605758373,48394
496,-153.3771865705322,48500
497,-151.78802622382472,48593
498,-152.55645450812858,48709
499,-152.0945334727635,48835
500,-152.25500668138883,48944
501,-150.73351506500768,49000
502,-149.12550883983045,49057
503,-149.0910908808561,49145
504,-149.15306802069742,49211
505,-149.6392270057338,49296
506,-148.8305272932929,49357
507,-148.44524091456424,49437
508,-146.41547413248637,49523
509,-146.47736907938983,49594
510,-148.2393386871382,49679
511,-146.26166699477287,49766
512,-147.74455370168036,49843
513,-148.08861269634815,49923
514,-147.65288264855297,49993
515,-149.44120279040385,50103
516,-150.30386877259852,50188
517,-153.3556492793901,50300
518,-153.3984013901506,50364
519,-154.57967333428462,50442
520,-154.6886542633518,50521
521,-156.10330343272489,50621
522,-155.7448367232188,50731
523,-155.8542817988016,50813
524,-158.68590733762906,50929
525,-158.74769905002765,50998
526,-160.02824617951964,51093
527,-161.05928538975155,51203
528,-160.7263733593343,51320
529,-160.5107624418146,51397
530,-160.45037496766514,51519
531,-159.7505461385377,51614
532,-161.54102246738293,51720
533,-161.31662428752597,51785
534,-161.01680015817806,51877
535,-160.16762099518579,51941
536,-159.51584274403186,52032
537,-158.05038099060488,52131
538,-157.90965519111506,52245
539,-156.70665369332878,52322
540,-155.16946373201142,52437
541,-155.01523982559925,52508
542,-153.54747259177648,52582
543,-154.12687380743793,52662
544,-154.0072989725246,52730
545,-153.2124758762845,52798
546,-152.82616033781585,52860
547,-154.16060520633445,52988
548,-153.3113030305328,53059
549,-153.5071757636714,53168
550,-153.72036384440523,53259
551,-155.69937429648638,53379
552,-154.48357648950088,53477
553,-153.5011491140212,53545
554,-153.40420739205177,53631
555,-153.66499066277368,53761
556,-152.60109513707667,53877
557,-153.8291389660795,53982
558,-153.64076252578099,54057
559,-152.99101846079128,54128
560,-151.6648441934302,54227
561,-152.37787786987647,54310
562,-152.31508648066102,54405
563,-151.49934194629643,54464
564,-151.3069321742669,54557
565,-151.62145005420155,54651
566,-152.00343969021503,54730
567,-148.6815004569288,54825
568,-147.12183903578733,54886
569,-147.29875970645452,54962
570,-148.4906583590691,55062
571,-148.44839150831305,55164
572,-147.09203325405846,55259
573,-147.48322989515336,55361
574,-146.51943641814503,55452
575,-146.98822780601722,55514
576,-146.77439766904718,55605
577,-147.24135809278883,55689
578,-146.51419501556472,55767
579,-146.44167339004227,55892
580,-147.79113036861176,55995
581,-147.66878795941392,56073
582,-147.710939972893,56147
583,-147.8814255649869,56226
584,-149.9200751323349,56338
585,-151.43759924604447,56461
586,-151.67891516633927,56535
587,-151.77466094850138,56591
588,-152.00504457022515,56671
589,-150.33536267505085,56778
590,-151.5231517470631,56842
591,-151.6067118238401,56905
592,-152.4264099739186,57008
593,-150.3172424979138,57109
594,-150.91536166253908,57189
595,-151.61922316779513,57298
596,-149.47725174937432,57402
597,-150.2755399625584,57492
598,-149.98043362143923,57585
599,-149.39952669082817,57681
600,-147.57496749808476,57761
601,-147.498369918783,57829
602,-147.81764692288812,57941
603,-146.9778360390557,58023
604,-147.21507600562146,58149
605,-147.15721451439916,58214
606,-147.73030949448992,58305
607,-147.8909354016854,58383
608,-149.31947455465902,58452
609,-149.034428565146,58535
610,-146.55744515833274,58660
611,-146.17126822752203,58734
612,-145.04238562949425,58881
613,-144.86291290948026,58992
614,-144.5359423312617,59084
615,-141.8301141234253,59160
616,-139.7098187079554,59256
617,-136.87712090703175,59351
618,-137.1108394567629,59426
619,-137.33090824135888,59542
620,-137.00268540876348,59611
621,-134.67127268432105,59684
622,-134.1650516896387,59797
623,-134.7689994839225,59902
624,-132.2309442352556,60000
625,-131.95457095930638,60138
626,-129.9486490367329,60248
627,-129.10938977161106,60335
628,-128.76152642669513,60425
629,-130.70838436611447,60554
