,mean_reward_100_steps,steps
0,-393.2364055042119,99
1,-236.86016064888025,170
2,-161.0437460969653,246
3,-158.0097443291416,320
4,-153.42206645301732,395
5,-150.41941003845488,476
6,-146.05400087613546,545
7,-141.9240171251991,611
8,-128.24165749367,686
9,-132.63890792241676,766
10,-139.64683246774152,850
11,-139.90056984122046,921
12,-139.1524693902036,1012
13,-139.94448239328815,1100
14,-138.06663980554276,1156
15,-128.27914847879117,1221
16,-125.9934378245421,1278
17,-128.2572555843375,1353
18,-129.1600399002717,1414
19,-129.35119569134937,1495
20,-130.63848008975097,1561
21,-132.6166485557764,1627
22,-132.32831480474573,1685
23,-133.47363907438853,1765
24,-134.28293672280898,1853
25,-135.20433698954574,1913
26,-135.12619856942473,1973
27,-133.63225955679576,2029
28,-129.230769740289,2089
29,-130.41284063088295,2160
30,-130.3111733852445,2218
31,-131.08314945392948,2310
32,-129.86681367576313,2401
33,-131.62171259341488,2483
34,-127.73666942828461,2554
35,-127.73138515516975,2608
36,-127.80151121509459,2669
37,-127.9286648527373,2730
38,-129.17482466176696,2801
39,-129.065862818454,2870
40,-130.0768080718934,2940
41,-129.41198072154265,3025
42,-129.58835484776165,3107
43,-129.48887880589794,3160
44,-129.05451324120122,3214
45,-129.95407368178013,3282
46,-130.77157462264697,3368
47,-130.1016182143482,3450
48,-130.5890670031007,3516
49,-130.79692142752256,3587
50,-131.5557005880328,3655
51,-131.78116708277486,3720
52,-132.0149180655679,3802
53,-131.86362359127747,3858
54,-132.05625270013093,3922
55,-132.3303653447643,3979
56,-131.5633603959394,4036
57,-131.24202532199592,4115
58,-131.31001232157135,4207
59,-131.40008053088792,4283
60,-131.1709359505806,4350
61,-131.21751592268856,4428
62,-131.1675230570843,4490
63,-130.62542311127353,4576
64,-130.5123686006749,4628
65,-129.822434919617,4682
66,-129.21859802216963,4773
67,-129.23232842022534,4865
68,-128.91896466461296,4920
69,-126.76638860070535,4992
70,-126.78896401434794,5051
71,-126.97802838336685,5131
72,-127.60163689753978,5196
73,-127.6402357635969,5248
74,-127.50250614812632,5303
75,-127.3134435200026,5358
76,-127.85555525524639,5434
77,-127.95963204167714,5496
78,-128.13596832160187,5574
79,-128.90917192508124,5652
80,-128.70305678036655,5717
81,-128.83196432365963,5807
